item_no,description,unit,count
795-12.08,REMOVE WATER METER,EACH,52
795-08.13,16IN BUTTERFLY VALVE ASSEMBLY,EACH,52
730-02.18,SIGNAL HEAD ASSEMBLY (150 A2 POLE MOUNTED),EACH,52
802-12.37,QUERCUS PALUSTRIS (PIN OAK SEEDLNG B.R.),EACH,52
604-03.60,BRIDGE JOINT SEISMIC MODIFICATION (DESCRIPTION),EACH,52
790-41.03,UG PRI COND 1/0 AL 15KV,L.F.,52
790-33.32,"SCREW TYPE ANCHOR 36,000LB (F1-6T-P)",EACH,52
711-04.21,CONCRETE BARRIER DELINEATION ENHANCEMENT,L.F.,52
790-07.05,POLE 60FT CLASS 1 METAL,EACH,51
611-40.02,"CATCH BASINS, TYPE 40, > 4 - 8 DEPTH",EACH,51
802-11.04,ACER SACCHARUM (SUGAR MAPLE 2-5FT CNTNR GRWN),EACH,51
790-32.21,OH GUY HVY CONST -THROUGH BOLT TYPE,EACH,51
707-11.01,PEDESTRIAN CONSTRUCTION BARRIER FENCE,L.F.,51
202-02.08,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,51
730-02.14,SIGNAL HEAD ASSEMBLY (140 A1 WITH BACKPLATE),EACH,51
795-07.10,10IN X 10IN TAPPING SLEEVE AND VALVE,EACH,51
716-08.33,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),EACH,51
204-10.04,"FOUNDATION PREPARATION(PR NO.  ,STA          )",LS,51
790-61.10,3PH SECTLR OR RECL W/ BYPASS SW 25KV,EACH,51
202-02.09,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.,51
714-09.03,LUMINAIRES (250 WATT),EACH,51
790-26.16,3PH XARM FBRGLS LRG COND MED ANGLE 25KV,EACH,51
713-30.05,BARRIER MOUNTED SQUARE TUBE SIGN SUPPORT,LB.,51
793-01.07,POLE 35FT CLASS 4 WOOD,EACH,50
705-17.97,ATTENUATOR (NARROW- LOW MAINTENANCE),EACH,50
705-20.45,CONCRETE PAD (QGEM),EACH,50
705-20.42,"CLAMP, NOSE BELT, QG, G (QGEM)",EACH,50
705-20.44,APPROVED ADHESIVE (QGEM),EACH,50
908-21.02,BEARINGS (DESCRIPTION),EACH,50
705-20.46,CONCRETE PAD (QGM10),EACH,50
705-20.43,"END CAP, MONORAIL, QG, G (QGEM)",EACH,50
615-02.03,PRESTRESSED CONCRETE BOX BEAM (21 X 36),L.F.,50
797-08.07,4IN CLEAN OUT ASSEMBLY,EACH,50
705-20.10,DIAPHRAGM 24 (QGEM),EACH,50
705-20.19,"STOP, TAB, WELDMENT, G (QGEM)",EACH,50
713-16.52,REMOVE AND REPLACE SIGN (DESCRIPTION),EACH,50
705-20.17,"EXTENSION, DIAPHRAGM, FLAT (QGEM)",EACH,50
705-20.18,"FLT ST 3/16X2X13, W/HOLES (QGEM)",EACH,50
790-25.15,3PH VERTICAL 15KV,EACH,50
625-02.46,SONIC LOGGING TESTING,EACH,50
705-20.09,TENSION STRUT BACKUP 24 (QGEM),EACH,50
411-01.12,LONGITUDINAL JOINT STABILIZATION,S.F.,50
611-41.03,"CATCH BASINS, TYPE 41, > 8 - 12 DEPTH",EACH,50
705-20.12,MUSHROOM WASHER (QGEM),EACH,50
705-20.11,"DIE SPRING, 5/8 X 1 1/2 (QGEM)",EACH,50
705-20.26,"PLATE, NOSE CYLINDER, G (QGEM)",EACH,50
705-20.41,"MONORAIL, ONE BAY, QG, G (QGEM)",EACH,50
705-20.27,"CYLINDER NOSE, HDPE, 28 X 20 (QGEM)",EACH,50
705-20.28,"NOSE ASSY 24, M10 QGE, Y (QGEM)",EACH,50
705-20.15,MONORAIL GUIDE (QGEM),EACH,50
705-20.14,"PANEL, FENDER, QG (QGEM)",EACH,50
705-20.16,"PANEL, SIDE, QG (QGEM)",EACH,50
793-07.01,12 FIBER (MATERIAL ONLY),L.F.,50
209-03.36,STREAM MITIGATION-STEP POOL,EACH,50
790-69.12,GROUND ASSEMBLY GROUND PLATE TYPE,EACH,50
725-21.85,UNINTERRUPTIBLE POWER SUPPLY,EACH,50
705-20.08,REPOSITIONING IMPACT ATTENUATOR (QUARDGUARD ELITE M10),EACH,50
705-20.13,"EXTENSION BACKUP, M10 QGE (QGEM)",EACH,50
607-37.04,30 CORRUGATED METAL PIPE CULVERT,L.F.,50
705-05.36,CONCRETE PAD (SCI100GM),EACH,50
604-10.02,CONCRETE REPAIRS,C.Y.,49
790-47.02,2PH XFMR BNK POLE MTD W/ FUSE/ARRESTERS,EACH,49
795-03.08,12IN PVC WATER LINE,L.F.,49
790-42.08,2IN DIA PVC PIPE,L.F.,49
790-36.02,TRANSFER CAPACITOR BANK,EACH,49
620-05.02,STANDARD CONCRETE CLASSIC PARAPET RAIL,L.F.,49
797-05.10,12IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.,49
202-01.14,"REMOVAL OF PIPE (SIZE, STA.)",L.F.,49
611-46.02,"CATCH BASINS, TYPE 46, > 4 - 8 DEPTH",EACH,49
797-08.20,CONNECT SERVICE LINES (ALL SIZES),EACH,49
202-01.57,REMOVAL OF STRUCTURES & OBSTRUCTIONS (DESCRIPTION),LS,49
793-14.09,BRIDGE CONDUIT HANGER SYSTEM,LS,49
607-16.04,38X 24 HORIZONTAL OVAL CONCRETE PIPE CULVERT,L.F.,49
722-01.02,FIELD OFFICE (TYPE 2),LS,49
307-03.11,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING CW,TON,49
725-21.96,RDS COMM CABLE,L.F.,49
203-10.00,EMBANKMENT (COMPACTED IN PLACE),C.Y.,49
607-10.02,54 CONCRETE PIPE CULVERT (CLASS III),L.F.,49
611-10.01,"CATCH BASINS, TYPE 10, 0 - 4 DEPTH",EACH,49
713-09.06,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,49
790-40.06,OH COND 4/0 6/1 ACSR PENGUIN,L.F.,49
791-04.05,HDD 6IN PE PIPE - UNCONSOLIDATED,L.F.,49
790-25.30,3PH CROSSARM DBL 10FT LRG COND 15KV,EACH,48
611-01.01,"MANHOLES, 0 - 4 DEPTH",EACH,48
714-08.12,LIGHT STANDARDS (DESCRIPTION),EACH,48
711-05.74,CONC MEDIAN BARR SING SLOPE (STD-1-3SS),L.F.,48
793-03.41,AERIAL CABLE (DESCRIPTION),L.F.,48
790-68.02,POLE GROUND PLATE TYPE,EACH,48
607-39.01,15 PIPE CULVERT (SIDE DRAIN),L.F.,48
790-22.10,1PH SUSPENSION ANGLE 25KV,EACH,48
793-01.42,ANCHOR 1 1/4IN,EACH,48
602-10.20,BOLTS,EACH,48
702-01.02,CONCRETE CURB,L.F.,48
795-08.08,12IN BUTTERFLY VALVE ASSEMBLY,EACH,48
705-80.18,CABLE BARRIER TERMINAL,EACH,48
706-06.01,SINGLE THRIE RAIL (TYPE 2),L.F.,48
202-06.09,REMOVAL OF BUILDINGS (TRACT NO.),LS,48
611-25.03,"CATCH BASINS, TYPE 25, > 8 - 12 DEPTH",EACH,48
707-01.02,END & CORNER POST ASSEMBLY(CHAIN-LINK FENCE 4),EACH,48
403-05.00,BITUMINOUS MATERIAL(TC/FOG SEAL)(UNDILUTED),TON,48
790-98.04,REMOVE FIBER OPTIC CABLE,L.F.,48
403-02.02,HOT APPLIED TACK COAT,TON,48
798-05.03,FIBER OPTIC CABLE SPLICE,EACH,48
790-70.10,FLOOD LIGHT,EACH,48
801-01.16,BONDED FIBER MATRIX HYDROMULCH (W/PERMANENT SEED),UNIT,48
411-12.05,SCORING FOR CENTERLINE RUMBLE (4IN WIDTH-24IN SPACING),L.M.,47
793-16.01,MH(RETIRE/REMOVE/GRAVEL BACKFILL),EACH,47
209-40.32,CATCH BASIN PROTECTION (TYPE C),EACH,47
706-10.56,BUFFER ENDS 88,EACH,47
730-25.16,CANTILEVER SIGNAL SUPPORT (1 ARM @ 80),EACH,47
795-05.01,HDD 2IN HDPE CARRIER PIPE-UNCON,L.F.,47
602-10.50,STRUCTURAL STEEL REPAIR,EACH,47
730-13.06,VEHICLE DETECTOR (OPTICALLY ACTIVATED PRIORITY CONTROL),EACH,47
611-05.02,12IN PVC PIPE FOR TRENCH DRAINS,L.F.,47
795-06.36,CUT & CAP 10IN WATER LINE,EACH,47
311-03.04,HOT IN PLACE RECYCLING OF ASPHALT PAVEMENT  (2.00IN),S.Y.,47
725-24.61,TRAINING,LS,47
793-11.06,8IN PEDESTAL,EACH,47
606-24.10,SHEET PILES,S.F.,47
790-26.01,3PH CROSSARM 25KV,EACH,47
209-10.01,TEMPORARY DEWATERING STRUCTURE,C.Y.,47
712-01.51,PORTABLE BARRIER RAIL DELINEATOR (DOUBLE),EACH,47
713-20.40,GRAFFITI REMOVAL,S.F.,47
602-01.00,STRUCTURAL STEEL,LB.,47
802-13.04,CORNUS AMOMUM (SILKY DOGWOOD 2-5FT CNTNR GRWN),EACH,47
795-02.01,2IN HDPE WATER LINE,L.F.,46
615-02.19,PRESTRESSED CONCRETE BOX BEAM (24 X 36),L.F.,46
795-06.09,CONNECT TO 16IN WATER LINE,EACH,46
730-25.15,CANTILEVER SIGNAL SUPPORT (1 ARM @ 75),EACH,46
602-10.19,JACKING STEEL SPANS,LS,46
793-14.03,MH PRECAST 6-FT W X 12-FT L X 7-FT H,EACH,46
602-10.51,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,46
795-01.02,4IN DIP SLIP JOINT WATER LINE,L.F.,46
795-05.79,BORE/JACK 16IN STEEL CASING PIPE-ROCK.,L.F.,46
791-06.12,CONNECT TO 6IN EX. STL MAIN,EACH,46
725-22.75,2IN CONDUIT BORED W/BANK,L.F.,46
730-02.01,SIGNAL HEAD ASSEMBLY (110),EACH,46
725-23.16,FIBER OPTIC CABLE (144F),L.F.,46
705-17.19,CBL 3/4 X 19FT7IN /SNG SWG,EACH,46
705-17.37,TRANSITION TO BARRIER WALL (END CAP),EACH,46
705-17.36,TRANSITION TO SAFETY SHAPE,EACH,46
705-17.31,FRONT BASEPLATE / POST ASSEMBLY,EACH,46
705-17.30,BACK-UP POST,EACH,46
795-14.03,CLASS C CONCRETE,C.Y.,46
705-17.18,CBL 3/4 X 6FT6IN /DLB SWG/NOHWI,EACH,46
705-17.28,COMPLETE BASE UNIT,EACH,46
705-17.29,PLATE WASHER 5/16IN X 2IN X 1FT2IN,EACH,46
705-17.27,HDPE REAR PANEL,EACH,46
705-17.26,HDPE MIDDLE PANEL,EACH,46
705-17.21,DIAPHRAGM #2,EACH,46
705-17.20,DIAPHRAGM #1,EACH,46
705-17.25,HDPE FRONT PANEL,EACH,46
705-17.23,DIAPHRAGM #10,EACH,46
705-17.91,HEART CRS-RPR DPH 3-9,EACH,46
705-17.92,REPOSITIONING IMPACT ATTENUATOR (HEART),EACH,46
705-17.89,HEART REFLECTIVE TAPE,EACH,46
705-17.90,HEART REPAIR DPHM-L WR BKT,EACH,46
621-01.01,TEMPORARY STRUCTURE (DESCRIPTION - STATION),LS,46
714-12.03,CONTROL CENTER (NO. 3),LS,46
611-01.07,"MANHOLES, > 24 - 28 DEPTH",EACH,46
709-02.01,RUBBLE STONE RIP-RAP (GROUTED),C.Y.,46
502-01.00,CLEANING AND SEALING JOINTS,L.F.,45
797-03.04,2IN PVC FORCE MAIN,L.F.,45
606-24.13,TEMPORARY SHEET PILES,LS,45
713-30.02,BRIDGE MOUNTED SIGN SUPPORT,LB.,45
713-15.06,MILE POST SIGN,EACH,45
802-11.40,SALIX NIGRA (BLACK WILLOW 2-5FT CNTNR GRWN),EACH,45
730-12.30,TRENCHING,L.F.,45
716-05.22,PAINTED PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.,45
790-26.21,3PH VERTICAL DDE ANGLE 25KV,EACH,45
790-25.17,3PH VERTICAL DEADEND LARGE ANGLE 15KV,EACH,45
604-12.15,DRILL & GROUT STEEL BARS,EACH,45
802-12.12,CORNUS FLORIDA (FLOWERING DOGWOOD SEEDLNG B.R.),EACH,45
791-10.07,RETIRE IN PLACE 8IN SERV CUT & PLUG,EACH,45
714-08.23,FOUNDATION (ONLY) FOR LIGHT STANDARDS,EACH,45
802-13.15,PHYSOCARPUS OPULIFOLIUS (NINEBARK) 2-5FT C.G.,EACH,45
790-59.03,CUTOUT KNIFE SWITCH-SNGL LOADBREAK 25KV,EACH,45
202-06.10,REMOVAL OF BUILDINGS (TRACT NO.),LS,45
795-06.31,CUT AND CAP 2IN WATER LINE,EACH,44
795-01.19,24IN DIP RESTRAINED JOINT WATER LINE,L.F.,44
725-24.21,PREVENTIVE MAINTENANCE FOR SYSTEM,LS,44
790-26.32,3PH CROSSARM 10FT FBRGLS X-ARM DDE 25KV,EACH,44
791-02.05,6IN MDPE GAS MAIN,L.F.,44
790-02.03,POLE 35FT CLASS 4 WOOD,EACH,44
797-08.02,PVC FITTINGS,LB.,44
714-02.02,"ENCASED CONDUIT (2 PVC, SCHEDULE 40)",L.F.,44
790-43.51,SECONDARY RISER W/ 3IN CONDUIT,EACH,44
303-01.09,"MINERAL AGGREGATE, TYPE A BASE,GRADING D LIMESTONE",TON,44
790-07.02,POLE 60FT CLASS 2 WOOD,EACH,44
621-03.01,15 TEMPORARY DRAINAGE PIPE,L.F.,44
701-02.02,CONCRETE DRIVEWAY (8),S.F.,44
725-21.43,DEMARCATION SITE (OVERHEAD POWER),EACH,44
713-16.34,SIGNS (DESCRIPTION),EACH,44
730-05.03,SERVICE CABLE (DESCRIPTION),L.F.,44
607-16.06,45X 29 HORIZONTAL OVAL CONCRETE PIPE CULVERT,L.F.,43
793-03.02,6M STRAND,L.F.,43
790-41.46,UG SEC COND 1/0 AL TPLX,L.F.,43
730-08.30,INTERCONNECT CABLE (COPPER-TWISTED PAIR),L.F.,43
604-09.10,CLASS A CONCRETE (DESCRIPTION),C.Y.,43
730-23.64,CANTILEVER SIGNAL SUPPORT (1 ARM @ 30),EACH,43
203-01.07,RD & DRNG EXCV (ACID PRODUCING- OFF SITE DISPOSAL),C.Y.,43
705-04.23,GUARDRAIL DELINEATION ENHANCEMENT (BI-DIRECTIONAL),L.F.,43
716-15.11,PREFORMED PERMANENT TAPE (8IN LINE),L.F.,43
716-15.20,PREFORMED PERMANENT TAPE (24IN BARRIER LINE),L.F.,43
793-11.17,COMPOSITE HANDHOLE 5FTX3FTX3FT,EACH,43
707-01.01,CHAIN-LINK FENCE (4-FOOT),L.F.,43
790-64.01,SEC MTG 1PH 120/240 VOLTS,EACH,43
406-04.04,HIGH FRICTION SURFACE TREATMENT (DOUBLE LIFT),S.Y.,43
705-20.07,IMACT ATTENUATOR (QUADGUARD ELITE M10),EACH,43
615-04.10,NON-SHRINK GROUT,C.F.,43
716-02.23,PLASTIC PAVEMENT MARKING (12IN BARRIER LINE),L.F.,43
790-26.29,3PH DDE UNBALANCED LOAD 25KV,EACH,43
790-69.09,GND-ASSY GND ROD WITH ALUMINUM,EACH,42
411-03.15,ASP CEM(PG76-22)FOR OGFC MIX,TON,42
303-10.02,MINERAL AGGREGATE (SIZE 2),TONN,42
791-04.22,HDD 4IN STEEL PIPE - UNCONSOLIDATED,L.F.,42
620-10.01,CONCRETE PARAPET (BRIDGERAIL REPLACEMENT),L.F.,42
802-13.14,CALLICARPA AMERICANA (AMRCN BEAUTYBERRY) 2-5FT C.G.,EACH,42
411-02.11,ACS MIX(PG70-22) GRADING E RDWY,TON,42
607-13.03,72 CONCRETE PIPE CULVERT (CLASS III),L.F.,42
797-11.32,RETIREIN PLACE EXISTING SEWER 15IN-24IN,L.F.,42
712-01.75,DESIGN-BUILD MAINTENANCE OF TRAFFIC,LS,42
607-06.03,30 CONCRETE PIPE CULVERT (CLASS IV),L.F.,42
730-23.03,STEEL STRAIN POLE (DESCRIPTION),EACH,42
209-03.31,STREAM MITIGATION-COCONUT FIBER ROLLS,L.F.,42
793-14.10,4IN CORE DRILL INTO MANHOLE,EACH,42
713-16.35,SIGNS (DESCRIPTION),EACH,42
716-99.50,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS,42
105-08.20,DESIGN-BUILD CONTRACT MANAGEMENT,LS,42
105-01.55,DESIGN-BUILD DESIGN ENG SERVICES,LS,42
717-99.95,MOBILIZATION (DESIGN-BUILD),LS,42
795-13.04,BRIDGE HANGER SYSTEM,LS,42
705-01.05,GUARDRAIL AT BRIDGE ENDS LOW VOLUME,EACH,42
203-01.95,DESIGN-BUILD GRADING AND ROADWAYS,LS,42
203-01.79,EXCAVATION/BACKFILL,C.Y.,42
411-03.16,AGGREGATE FOR OGFC MIX,TON,42
204-01.00,CULVERT EXCAVATION (UNCLASSIFIED),C.Y.,42
204-04.10,STRUCTURE EXCAVATION UNCLASSIFIED,C.Y.,42
604-10.47,EXPANSION JOINT REPAIRS (TYPE H),L.F.,42
705-20.48,CONCRETE PAD (QGEM WIDE),EACH,42
105-01.20,"DESIGN-BUILD CONSTR STAKES, LINES&GRADES",LS,42
604-03.35,CLASS L CONCRETE,C.Y.,42
209-01.50,DESIGN-BUILD ENVIR MANAGMNT (INCL. EPSC),LS,42
791-04.20,HDD 2IN STEEL PIPE - UNCONSOLIDATED,L.F.,41
725-24.03,CABINET (TYPE C),EACH,41
625-02.14,DRILLED SHAFT-ROCK (DIA.),V.F.,41
301-50.50,DESIGN-BUILD PAVEMENT,LS,41
403-02.00,ASPHALT CEMENT FOR TACK COAT (TC),TON,41
405-03.01,PM REJUVENATING SCRUB SEAL,S.Y.,41
793-16.02,DIRECTIONAL BORE 2IN/FLEX SLEEVE,L.F.,41
793-16.21,ADJUST MANHOLE LID,EACH,41
795-05.66,BORE/JACK 18IN STEEL CASING PIPE-UNCON.,L.F.,41
604-07.09,RETAINING WALL (DESCRIPTION),S.F.,41
712-01.56,MAINTENANCE OF TRAFFIC (                       ),EACH,41
602-10.12,BEARING DEVICE (REPAIR),LS,41
797-05.60,12IN PVC GRAVITY SEWER 6FT-12FT DEPTH,L.F.,41
610-10.50,DESIGN-BUILD DRAINAGE,LS,41
725-22.64,STRUCTURE CONDUIT BANK (TYPE 4),L.F.,41
791-09.08,REMOVE REGULATOR STATION,EACH,41
790-43.58,3PH PRIMARY RISER W/ 6IN CONDUIT,EACH,41
793-14.20,PLACE MANHOLE OVER EXISTING CABLE,EACH,41
202-04.05,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,41
604-04.05,BRIDGE END DRAINS(SIZE),EACH,41
802-11.31,QUERCUS FALCATA (SOUTHERN RED OAK 2-5FT CNTNR GRWN),EACH,41
797-06.93,OPEN CUT 24IN STEEL CASING PIPE,L.F.,41
705-09.50,IMPACT ATTENUATOR (SCI100GM WIDE),EACH,40
602-02.01,STRUCTURAL STEEL (LOCATION & DESCRIPTION),LB.,40
790-40.46,OH COND 556.5 19 AAC DAHLIA,L.F.,40
705-08.10,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-2,EACH,40
411-01.11,ACS MIX(PG64-22) GRADING E RDWY,TON,40
802-13.53,CEPHALANTHUS OCCIDENTALIS (BUTTONBUSH SDLNG BARE ROOT),EACH,40
716-08.32,HYDROBLAST REMOVAL OF PAVEMENT MARKING (DESCRIPTION),L.F.,40
602-04.02,STEEL STRUCTURES (LOCATION & DESCRIPTION),LS,40
802-02.35,CUTTINGS: CEPHALANTHUS OCCIDENTALIS (18IN-24IN),EACH,40
202-02.26,REMOVAL OF PIPE (DESCRIPTION),L.F.,40
795-05.02,HDD 4IN HDPE CASING PIPE-UNCON,L.F.,40
607-07.05,36 CONCRETE PIPE CULVERT(CLASS IV)JACKED-IN-PLACE,L.F.,40
705-20.05,"HEX FOAM CARTRIDGE, TYPE M1",EACH,40
793-03.11,25 PAIR CABLE,L.F.,40
797-05.56,10IN PVC GRAVITY SEWER 6FT-12FT DEPTH,L.F.,40
797-06.66,BORE/JACK 20IN STEEL CASING PIPE-UNCON.,L.F.,40
797-05.06,10IN DIP GRAVITY SEWER 6FT-12FT DEPTH,L.F.,40
502-07.00,SPALL REPAIR,S.Y.,40
797-07.09,48IN MANHOLE 20FT-24FT DEPTH,EACH,40
730-35.01,RF DATA SYSTEM (DESCRIPTION),EACH,40
730-12.26,CONDUIT 2 DIAMETER (PVC SCHEDULE 80),L.F.,40
611-42.04,"CATCH BASINS, TYPE 42, > 12 - 16 DEPTH",EACH,40
706-02.01,GUARDRAIL REMOVED AND RESET,L.F.,40
790-06.03,POLE 55FT CLASS 3 WOOD,EACH,40
307-03.12,ASPHALT CONCRETE MIX (PG76-22) GRADING CM,TON,40
790-74.31,FIBER TANGENT ASSEMBLY,EACH,40
793-13.32,6 DUCT FORMATION @ 36IN DEPTH,L.F.,40
719-01.08,CLEAN DRAIN,EACH,39
795-15.10,30IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,39
705-08.90,IMPACT ATTENUATOR (2005 TRACC),EACH,39
725-20.57,CABLE (1/C #2 AWG.),L.F.,39
611-07.10,CLEAN DRAIN (TRENCH DRAIN),L.F.,39
795-13.02,HDPE FITTINGS,LB.,39
713-15.25,DESIGN-BUILD SIGNING,LS,39
713-15.04,INSTALLATION OF LETTERS & ARROWS,LS,39
725-22.50,DMS CONDUIT BANK,L.F.,39
790-42.10,4IN DIA PVC PIPE,L.F.,39
716-09.90,CONTRAST PAVEMENT MARKING 6 DOTTED,L.F.,39
797-09.20,2IN COMBO AIR RELEASE VALVE ASSEMBLY,EACH,39
730-15.12,MODIFY CABINET (DESCRIPTION),EACH,39
202-03.03,REMOVAL OF ASPHALT PAVEMENT,C.Y.,39
802-01.12,TREES (DESCRIPTION),EACH,39
797-09.40,CUT AND CAP (ALL LINES),EACH,39
713-09.07,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,39
790-42.26,__ DUCT BANK @ __IN-__IN DEPTH,L.F.,39
795-07.21,16IN X 16IN TAPPING SLEEVE AND VALVE,EACH,39
604-10.95,DESIGN-BUILD BRIDGES,LS,39
604-10.46,EXPANSION JOINT REPAIRS (TYPE G),L.F.,39
730-13.05,VEHICLE DETECTOR (EXT. CALL - DELAY CALL),EACH,39
730-13.10,VEHICLE DETECTOR (DESCRIPTION),EACH,39
204-05.50,DESIGN-BUILD GEOTECHNICAL,LS,39
793-98.21,TRIM UTILITY RIGHT-OF-WAY,L.F.,39
716-05.51,PAINTED PAVEMENT MARKINGS(12 LINE),L.F.,39
791-07.04,8IN PE GAS VALVE ASSEMBLY,EACH,39
716-04.17,PLASTIC PAVEMENT MARKING (YIELD SYMBOL),EACH,39
793-02.99,INSTALL GUY GUARD,EACH,39
209-09.02,TEMPORARY SEDIMENT FILTER BAG (146 X 20 X 133),BAG,39
714-01.00,STRUCTURAL LIGHTING,LS,39
303-20.02,RIVER GRAVEL,TON,39
790-02.01,POLE 35FT CLASS 2 WOOD,EACH,39
706-80.19,CABLE BARRIER (REMOVAL),L.F.,39
791-04.01,HDD <2IN PE PIPE - UNCONSOLIDATED,L.F.,39
790-70.01,STREET LIGHT ON WOOD POLE,EACH,39
714-16.01,NAVIGATIONAL LIGHTING,LS,39
714-40.75,DESIGN-BUILD UTILITIES,LS,39
714-09.13,LUMINAIRES (DESCRIPTION),EACH,39
790-36.01,SWITCH-900A-UNDERSLUNG,EACH,39
798-09.01,REMOVE STEEL STRAND,L.F.,38
790-40.76,OH STATIC COND _____ _____ ___________,L.F.,38
797-06.67,BORE/JACK 24IN STEEL CASING PIPE-UNCON.,L.F.,38
790-43.27,OUTDOOR TERMINATOR URD 25KV,EACH,38
712-09.03,REMOVABLE PAVEMENT MARKING(CHANNELIZING STRIPING),S.Y.,38
801-01.06,SEEDING (SPECIAL MIXTURE),UNIT,38
716-09.87,CONTRAST PAVEMENT MARKINGS WORDS AND SYMBOLS,EACH,38
716-09.89,CONTRAST PAVEMENT MARKING 12,L.F.,38
797-06.89,OPEN CUT 12IN STEEL CASING PIPE,L.F.,38
802-13.09,LINDERA BENZOIN (SPICEBUSH 2-5FT CNTNR GRWN),EACH,38
802-12.14,DIOSPYROS VIRGINIANA (PERSIMMON SEEDLNG B.R.),EACH,38
607-39.07,48 PIPE CULVERT (SIDE DRAIN),L.F.,38
791-08.10,2IN PE SERVICE PIPE,L.F.,38
791-01.08,12IN STEEL GAS MAIN,L.F.,38
109-04.50,DESIGN-BUILD ROW SERVICES,LS,38
790-06.06,POLE 55 FT CLASS 2 METAL,EACH,38
790-01.04,POLE 30FT CLASS 5 WOOD,EACH,38
793-11.25,CONCRETE HANDHOLE 4FT X 4FT X 4FT,EACH,38
607-11.30,60 PIPE CULVERT,L.F.,38
793-09.02,50 PAIR BURIED CABLE,L.F.,38
716-04.11,PLASTIC PAVEMENT MARKING (BICYCLE SYMBOL W/RIDER),EACH,38
795-05.14,HDD __IN HDPE CASING PIPE-UNCON,L.F.,38
793-14.14,MULTI DUCT,L.F.,38
790-41.12,UG PRI COND 1 AL 25KV,L.F.,37
790-59.05,GOLB SWITCH 25KV,EACH,37
705-17.35,IMPACT ATTENUATOR (HEART),EACH,37
611-40.01,"CATCH BASINS, TYPE 40, 0 - 4 DEPTH",EACH,37
713-09.08,STEEL OVERHEAD SIGN STRUCTURE (SPAN____),EACH,37
730-02.27,SIGNAL HEAD ASSEMBLY (440),EACH,37
790-69.03,10FT DBL CROSSARM,EACH,37
790-03.06,POLE 40FT CLASS 2 METAL,EACH,37
604-50.50,DESIGN-BUILD MINOR STRUCTURES (OTHER),LS,37
611-07.35,42IN ENDWALL (SIDE DRAIN),EACH,37
790-42.09,3IN DIA PVC PIPE,L.F.,37
797-06.62,BORE/JACK 12IN STEEL CASING PIPE-UNCON.,L.F.,37
795-14.01,CLASS A CONCRETE,C.Y.,37
705-08.21,IMPACT ATTENUATOR (TAU-II PARALLEL),EACH,37
705-15.67,QUADGUARD II IMPACT ATTENUATOR,EACH,37
705-07.96,REDIRECTIVE CRASH CUSHION(REACT 350)(9 BARREL),EACH,37
503-01.01,MILLING CONCRETE PAVEMENT,S.Y.,37
790-20.03,"POLE(SPECIFY POLE LENGTH, CLASS, AND MATERIAL)",EACH,37
793-07.22,FIBER SPLICE-12 FIBER RIBBON,EACH,37
793-14.01,SAND ENCASEMENT PER DUCT,L.F.,37
802-13.54,CORNUS AMOMUM (SILKY DOGWOOD SDLNG BARE ROOT),EACH,37
802-11.09,CARYA OVATA (SHAGBARK HICKORY 2-5FT CNTNR GRWN),EACH,37
730-09.02,SPAN WIRE ASSEMBLY(____LBS.MIN.BRK STRENGTH),L.F.,37
795-05.82,BORE/JACK 24IN STEEL CASING PIPE-ROCK.,L.F.,37
604-07.10,RETAINING WALL (DESCRIPTION),S.F.,37
793-01.01,POLE 30FT CLASS 4 WOOD,EACH,37
797-07.60,ADJUST EXISTING MANHOLE,EACH,37
714-05.06,PULL BOXES (DESCRIPTION),EACH,37
791-04.23,HDD 6IN STEEL PIPE - UNCONSOLIDATED,L.F.,37
705-20.06,"HEX FOAM CARTRIDGE, TYPE M2",EACH,37
791-04.13,HDD 4IN PE PIPE - ROCK,L.F.,37
790-43.53,1PH PRIMARY RISER W/ 3IN CONDUIT,EACH,37
714-08.30,REMOVE & RELOCATE LIGHT STANDARD,EACH,37
714-14.03,MASTARM (DESCRIPTION),EACH,37
790-70.11,STREET LIGHT - HPS  (DESCRIPTION),EACH,36
790-58.03,"CUTOUT KNIFE SWITCH, SNGL LOADBREAK 15KV",EACH,36
713-15.08,SUSPENDED FLAT SHEET ALUMINUM SIGN (0.100 THICK),EACH,36
202-04.52,"REMOVAL OF STRUCTURES (DESCRIPTION, STA.)",LS,36
795-07.32,INSERTION VALVE (8IN),EACH,36
725-24.25,UNSCHEDULED MAINTENANCE LABOR,HOUR,36
802-02.42,CUTTINGS: CORNUS AMOMUM (24-48IN),EACH,36
790-25.19,3PH VERTICAL DEADEND 15KV,EACH,36
