item_no,description,unit
625-02.30,DRILLED SHAFT CASING-PERMANENT (DIA.),V.F.
625-02.40,DRILLED SHAFT (SH-SCC) CONCRETE,C.Y.
625-02.41,DRILLED SHAFT (SCC) CONCRETE,C.Y.
625-02.43,CONCRETE CORING,V.F.
625-02.44,DRILLED SHAFT REINFORCING STEEL,LB.
625-02.46,SONIC LOGGING TESTING,EACH
626-01.01,AGGREGATE FOUNDATION SYSTEMS,LS
627-01.01,MOBILIZATION (PREFABRICATED VERTICAL DRAINS),LS
627-01.02,PREFABRICATED VERTICAL DRAIN,L.F.
627-01.03,DRAINAGE LAYER MATERIAL,C.Y.
629-01.00,EPOXY POLYMER CONCRETE OVERLAY,S.Y.
630-01.06,CONCRETE BOLLARD/GUARD POST,EACH
630-01.15,6 PVC (SCHEDULE 40) PIPE,L.F.
630-01.16,6 CONCRETE BOLLARD/GUARD POST,EACH
630-10.02,ELECTRICAL WORK-INSTALLED COMPLETE,LS
630-11.09,ABANDON EXISTING SEPTIC TANK,LS
640-01.05,WEIGH-IN-MOTION AND STATIC SCALE SYSTEM,LS
640-01.25,INSPECTION PIT,LS
640-01.30,SMART ROADSIDE INSPECTION SYSTEM,LS
680-01.03,SALT BINS (40 x 80-8),EACH
680-01.06,"SALT BIN, ROOF ONLY (40 x 60-8)",EACH
680-01.09,"SALT BIN, ROOF ONLY (40 x 120)",LS
680-01.10,SALT BIN (40 X 40 ROOF ONLY),EACH
680-01.11,SALT BIN (DESCRIPTION),EACH
680-01.12,SALT BIN (DESCRIPTION),EACH
680-01.15,"SALT BIN, ROOF ONLY (40 x 80)",LS
680-02.01,BUILDING (DESCRIPTION),EACH
680-02.02,BUILDING (DESCRIPTION),EACH
701-01.01,CONCRETE SIDEWALK (4 ),S.F.
701-01.02,CONCRETE SIDEWALK (6 ),S.F.
701-01.03,CONCRETE SIDEWALK - 4  (DESCRIPTION),S.F.
701-01.04,CAST-IN-PLACE TACTILE WARNING SYSTEM,EACH
701-01.05,CONCRETE SIDEWALK -6IN (DESCRIPTION),S.F.
701-01.07,EXPOSED AGGREGATE CONCRETE DRIVEWAY,S.F.
701-01.09,ORNAMENTAL CONCRETE (DESCRIPTION),S.F.
701-01.10,CONCRETE SIDEWALK (DESCRIPTION),S.F.
701-01.20,BRICK SIDEWALK,S.Y.
701-02.00,CONCRETE DRIVEWAY,S.F.
701-02.01,CONCRETE CURB RAMP (RETROFIT),S.F.
701-02.02,CONCRETE DRIVEWAY (8),S.F.
701-02.03,CONCRETE CURB RAMP,S.F.
701-02.05,DETECTABLE WARNING SURFACE (REHABILITATION),EACH
701-02.06,DETECTABLE WARNING SURFACE (REHABILITATION),S.F.
701-02.10,BUILDING ENTRANCE RAMP,EACH
701-03.00,CONCRETE MEDIAN PAVEMENT,C.Y.
701-99.91,RAISED CONCRETE MEDIAN,LS
702-01.00,CONCRETE CURB,C.Y.
702-01.01,EXTRUDED SLOPING CURB,L.F.
702-01.02,CONCRETE CURB,L.F.
702-01.03,MODULAR CURB W/DELINEATOR,L.F.
702-02.00,CONCRETE GUTTER,C.Y.
702-03.00,CONCRETE COMBINED CURB & GUTTER,C.Y.
702-10.02,WHEEL STOP,EACH
703-01.00,PORTLAND CEMENT CONCRETE DITCH PAVING,C.Y.
703-02.00,CEMENT CONCRETE DITCH PAVING (REINFORCED),C.Y.
703-02.05,CEMENT CONCRETE DITCH PAVING (SLOTTED DRAINS),C.Y.
703-10.01,PAVED DITCH,MNTH
705-01.01,GUARDRAIL AT BRIDGE ENDS,L.F.
705-01.02,GUARDRAIL AT BRIDGE PIERS,L.F.
705-01.03,"GUARDRAIL AT BRIDGE ENDS, RUB-RAIL LONG POST",L.F.
705-01.04,METAL BEAM GUARD FENCE,L.F.
705-01.05,GUARDRAIL AT BRIDGE ENDS LOW VOLUME,EACH
705-01.13,ROCK DRILLING FOR GUARDRAIL POST,EACH
705-01.14,ROCK DRILLING FOR GUARDRAIL POST,EACH
705-01.50,SHOP CURVED GUARDRAIL AT BRIDGE ENDS,L.F.
705-02.01,"SINGLE GUARDRAIL, WITH RUB-RAIL (TYPE 2)",L.F.
705-02.02,SINGLE GUARDRAIL (TYPE 2),L.F.
705-02.03,SINGLE GUARDRAIL (TYPE 2) LONG POST,L.F.
705-02.05,RUB-RAIL (ONLY),L.F.
705-02.10,GUARDRAIL TRANSITION 27IN TO 31IN,EACH
705-02.20,SINGLE GUARDRAIL (TYPE 2) LONG POST (6 FT-9 FT),L.F.
705-02.25,SINGLE GUARDRAIL (TYPE 2) LONG POST (9 FT-12 FT),L.F.
705-02.31,SINGLE GUARDRAIL (TYPE 2) (YEAR 1),L.F.
705-02.32,SINGLE GUARDRAIL (TYPE 2) (YEAR 2),L.F.
705-02.50,SHOP CURVED GUARDRAIL,L.F.
705-03.01,"MEDIAN DIVIDER GUARDRAIL, WITH RUB-RAIL (TYPE 2)",L.F.
705-03.02,MEDIAN DIVIDER GUARDRAIL (TYPE 2),L.F.
705-03.03,MEDIAN DIVIDER GUARDRAIL (TYPE 2) (27 MT HT),L.F.
705-03.04,MEDIAN DIVIDER GUARDRAIL AT CONCRETE BARRIER,L.F.
705-04.02,GUARDRAIL TERMINAL (TYPE 12),EACH
705-04.03,GUARDRAIL TERMINAL (TYPE 13),EACH
705-04.04,GUARDRAIL TERMINAL (TYPE 21),EACH
705-04.05,GUARDRAIL TERMINAL (TYPE-IN-LINE),EACH
705-04.07,"TAN ENERGY ABSORBING TERM (NCHRP 350, TL3)",EACH
705-04.09,EARTH PAD FOR TYPE 38 GR END TREATMENT,EACH
705-04.10,EARTH PAD FOR GUARD RAIL END TREATMENT,EACH
705-04.11,STONE FOR GUARDRAIL END TERMINAL PAD,TON
705-04.12,"FLARED ENERGY ABSORBING TERMINAL(NCHRP 350, TL 3 MEDIAN DIV)",EACH
705-04.20,GUARDRAIL DELINEATION ENHANCEMENT,EACH
705-04.21,GUARDRAIL DELINEATION ENHANCEMENT,L.F.
705-04.22,GUARDRAIL DELINEATION ENHANCEMENT (BI-DIRECTIONAL),EACH
705-04.23,GUARDRAIL DELINEATION ENHANCEMENT (BI-DIRECTIONAL),L.F.
705-04.24,GUARDRAIL END TERMINAL DELINEATION SHEETING,S.F.
705-04.25,GUARDRAIL & BARRIER DELINEATOR,EACH
705-04.26,REMOVE AND REPLACE BARRIER DELINEATOR,EACH
705-04.29,C-A-T CRASH CUSHION ATTENUATING TERMINAL,EACH
705-04.30,"TAN ENG ABSG TRM NCHRP 350,TL3(RMV & RPL)",EACH
705-04.50,PORTABLE BARRIER RAIL DELINEATOR,EACH
705-05.02,REPOSITIONING OF IMPACT ATTENUATOR (SCI100GM),EACH
705-05.09,BOLT SIDE GUIDE,EACH
705-05.26,PANEL DELINEATOR (W/REFLECTIVE HAZARD  MARKER),EACH
705-05.36,CONCRETE PAD (SCI100GM),EACH
705-06.01,W BEAM GR (TYPE 2) MASH TL-3,L.F.
705-06.02,W BEAM GR (TYPE 2) MASH TL-3 (LONG POST),L.F.
705-06.09,WEAK-POST GUARDRAIL ATTACHMENT TO CULVERT(MASH TL-3)(TYPE _),L.F.
705-06.10,GR TERMINALTRAILING END (TYPE 13) MASH TL-3,EACH
705-06.11,GR TERMINAL (IN-INLINE) MASH TL-3,EACH
705-06.15,SHORT-RADIUS GUARDRAIL SYSTEM (16 FT RADIUS) MASH TL-3,EACH
705-06.17,SHORT-RADIUS GUARDRAIL SYSTEM (32FT RADIUS) MASH TL-3,EACH
705-06.18,SHORT-RADIUS GUARDRAIL SYSTEM (40FT RADIUS) MASH TL-3,EACH
705-06.19,SHORT-RADIUS GUARDRAIL SYSTEM (48FT RADIUS) MASH TL-3,EACH
705-06.20,TANGENT ENERGY ABSORBING TERM MASH TL-3,EACH
705-06.21,TANGENT ENERGY ABSORBING TERM MASH TL-3 (POWDER COATING),EACH
705-06.25,THRIE BEAM BRIDGE TRANSITION MASH TL-3,EACH
705-06.26,THRIE BEAM BRIDGE TRANSITION MASH TL-2,EACH
705-06.27,THRIE BEAM 38IN VEHICLE & PEDESTRIAN SAFETY RAIL MASH TL-3,L.F.
705-06.30,GR TERMINAL (ENERGY ABSORBING) MASH TL-2,EACH
705-06.32,GR TERMINAL (GATING) (TYPE 21) MASH TL2,EACH
705-06.40,CABLE BARRIER (MASH TL-3),L.F.
705-06.41,CABLE BARRIER ANCHOR (MASH TL-3),EACH
705-06.51,CABLE BARRIER ANCHOR (MASH TL-4),EACH
705-06.71,W BEAM GR (TYPE 2) MASH TL-3 (YEAR 1),L.F.
705-06.72,W BEAM GR (TYPE 2) MASH TL-3 (YEAR 2),L.F.
705-06.81,TANGENT ENERGY ABSORBING TERM MASH TL-3 (YEAR 1),EACH
705-06.82,TANGENT ENERGY ABSORBING TERM MASH TL-3 (YEAR 2),EACH
705-07.02,CONC BARRIER CRASH CUSHION(NCHRP 350-TL3),EACH
705-07.11,TRUCK MOUNTED ENERGY ATTENUATOR,EACH
705-07.20,TRANSITION TO SAFETY SHAPE (2005 TRACC),EACH
705-07.21,TRANSITION TO BARRIER WALL END CAP (2005 TRACC),EACH
705-07.22,SPLIT FRAME KIT-30IN BACK-UP (2005 TRACC),EACH
705-07.96,REDIRECTIVE CRASH CUSHION(REACT 350)(9 BARREL),EACH
705-07.97,REACT 350 II (6 BARREL) (TL-3) ATTENUATOR,EACH
705-08.10,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-2,EACH
705-08.11,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-3,EACH
705-08.13,PERMANENT IMPACT ATTENUATOR NCHRP350 TL-3,EACH
705-08.18,TAU-II XXXL BULKHEAD (WIDE UNIT),EACH
705-08.19,TAU-II XXXXL BULKHEAD (WIDE UNIT),EACH
705-08.21,IMPACT ATTENUATOR (TAU-II PARALLEL),EACH
705-08.22,IMPACT ATTENUATOR (TAU-II WIDE),EACH
705-08.23,REPOSITIONING IMPACT ATTENUATOR (TAU-II),EACH
705-08.24,TAU-II CABLE GUIDE KIT (UNIVERSAL),EACH
705-08.25,TAU-II ENERGY ABSORBING CARTRIDGE TYPE A (UNIVERSAL),EACH
705-08.26,TAU-II ENERGY ABSORBING CARTRIDGE TYPE B (UNIVERSAL),EACH
705-08.27,TAU-II END PANEL (UNIVERSAL),EACH
705-08.28,TAU-II FRONT SUPPORT ASSEMBLY (UNIVERSAL),EACH
705-08.29,TAU-II FRONT SUPPORT LEG KIT (UNIVERSAL),EACH
705-08.30,TAU-II MID SUPPORT ASSEMBLY (UNIVERSAL),EACH
705-08.31,TAU-II PIPE PANEL MOUNT (UNIVERSAL),EACH
705-08.32,TAU-II SLIDER KIT (UNIVERSAL),EACH
705-08.33,TAU-II SLIDING PANEL (UNIVERSAL),EACH
705-08.34,TAU-II NOSE PIECE (PARALLEL UNIT),EACH
705-08.35,TAU-II PCB BACKSTOP (PARALLEL UNIT),EACH
705-08.36,TAU-II NOSE PIECE (WIDE UNIT),EACH
705-08.37,TAU-II WIDE SUPPORT LEG ADAPTER (WIDE UNIT),EACH
705-08.38,TAU-II WING ASSEMBLY (WIDE UNIT),EACH
705-08.39,TAU-II WING BRACE (WIDE UNIT),EACH
705-08.40,TAU-II XL BULKHEAD (WIDE UNIT),EACH
705-08.41,TAU-II XXL BULKHEAD (WIDE UNIT),EACH
705-08.43,FORMED ANGLE 05 TRACC,EACH
705-08.44,WIDE QUADGUARD ATTENUATOR W/ BACKWALL MOD.,EACH
705-08.45,GUARDRAIL ENERGY ABSORBING TERMINAL,EACH
705-08.50,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-2,EACH
705-08.51,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-3,EACH
705-08.52,"QUADGUARD MONORAIL ASSEMBLY, 3 BAY",EACH
705-08.53,PORTABLE IMPACT ATTENUATOR NCHRP350 TL-3,EACH
705-08.54,TRACC WASHER 1/4 X 3 X 2-1/4,EACH
705-08.55,TRACC DOUBLER PL X 38-1/2,EACH
705-08.56,TRACC BEAM GUIDE 72,EACH
705-08.57,IMPACT ATTENUATOR (QUADGUARD ELITE WIDE),EACH
705-08.58,IMPACT ATTENUATOR (QUADGUARD ELITE),EACH
705-08.59,IMPACT ATTENUATOR REPOSITIONING (QUADGUARD ELITE),EACH
705-08.65,IMPACT ATTENUATOR (PORTABLE),EACH
705-08.66,"RIP PLATE REPAIR KIT, STAGE 1",EACH
705-08.67,"RIP PLATE REPAIR KIT, STAGE 2",EACH
705-08.68,"RIP PLATE REPAIR KIT, STAGE 3",EACH
705-08.69,PLASTIC NOSE PIECE/REFLECTOR,EACH
705-08.74,BASE ASSEMBLY - 9,EACH
705-08.76,BEAM GUIDE - 20,EACH
705-08.77,END SHOE (LEFT OR RIGHT),EACH
705-08.80,SIDE PANEL - 35,EACH
705-08.81,SIDE PANEL - 62,EACH
705-08.84,SLOT PLATE,EACH
705-08.85,CROSSTIE,EACH
705-08.86,FORM CHANNEL - 3 X 2,EACH
705-08.88,SLED/CUTTER ASSEMBLY,EACH
705-08.90,IMPACT ATTENUATOR (2005 TRACC),EACH
705-08.91,REPOSITIONING VEHCULR IMP ATTN(2005TRACC),EACH
705-08.92,05 RIP PLATE REPAIR KIT STAGE 2,EACH
705-08.93,05 RIP PLATE REPAIR KIT STAGE 3,EACH
705-08.94,05 FRONT ANCH WELDMENT,EACH
705-08.95,05 SECTION MODULE,EACH
705-08.97,05 SLED/SHREDDER ASSEMBLY,EACH
705-08.98,05 FRAME WELDMENT,EACH
705-08.99,05 BACK-UP FRAME,EACH
705-09.10,IMPACT ATTENUATOR (SCI100GM),EACH
705-09.11,REPOSITIONING OF IMPACT ATTENUATOR (SCI100GM),EACH
705-09.12,CONCRETE ANCHOR BOLT SET (3/4 IN X 7 IN),EACH
705-09.13,ASPHALT ANCHOR BOLT SET (3/4 IN X 18 IN),EACH
705-09.14,BOLT CABLE ADJUSTER,EACH
705-09.15,BOLT SLED SIDE PANEL,EACH
705-09.16,BOLT FRONT STOP,EACH
705-09.17,BOLT SHEAR,EACH
705-09.18,BOLT SIDE GUIDE,EACH
705-09.19,BOLT TERMINAL BRACE,EACH
705-09.20,BRACE TERMINAL,EACH
705-09.21,CABLE WIRE ROPE W/ SPELTER SOCKET,EACH
705-09.22,CLIP WIRE ROPE,EACH
705-09.23,CYLINDER SHOCK ARRESTING,EACH
705-09.24,STRAP CYLINDER,EACH
705-09.25,FRAME MOBILE #1,EACH
705-09.26,FRAME MOBILE #2,EACH
705-09.27,FRAME MOBILE #3,EACH
705-09.28,FRAME MOBILE #4,EACH
705-09.29,FRAME MOBILE #5,EACH
705-09.30,FRAME MOBILE #6,EACH
705-09.31,GUIDE SIDE,EACH
705-09.32,KEEPER SIDE #1 (SLED PANEL),EACH
705-09.33,KEEPER SIDE #2 (SIDE PANEL),EACH
705-09.34,KEEPER SIDE #3 (REAR PANEL),EACH
705-09.35,PANEL DELINEATOR (W/REFLECTIVE HAZARD  MARKER),EACH
705-09.36,PANEL SIDE,EACH
705-09.37,PANEL SLED,EACH
705-09.38,PANEL REAR,EACH
705-09.39,SHEAVE (PULLEY),EACH
705-09.40,SLED,EACH
705-09.41,TRANSITION JERSEY BARRIER RIGHT,EACH
705-09.42,TRANSITION JERSEY BARRIER LEFT,EACH
705-09.43,TRANSITION 24IN CONCRETE,EACH
705-09.44,BOOT CYLINDER,EACH
705-09.50,IMPACT ATTENUATOR (SCI100GM WIDE),EACH
705-09.51,REPOSITIONING OF IMPACT ATTENUATOR (SCI100GM WIDE),EACH
705-10.28,CONCRETE BARRIER WALL FOR BRIDGE PIERS,L.F.
705-10.29,VERTICAL CONCRETE BARRIER WALL FOR BRIDGE PIERS,L.F.
705-10.30,GUARDRAIL ATTACHMENT TO SLOPE FACE ENDPOST,L.F.
705-10.31,GUARDRAIL ATTACHMENT TO VERTICAL FACE ENDPOST,L.F.
705-10.32,GUARDRAIL ATTACHMENT TO EXISTING BRIDGE PIER PROTECTION,EACH
705-10.33,GUARDRAIL ATTACHMENT TO CONCRETE BRIDGERAIL,L.F.
705-10.38,GUARDRAIL BRIDGERAIL ATTACHED TO BRIDGE CURBS,L.F.
705-10.98,GUARDRAIL END TERMINAL SKT 350 BOLT CONVERSION,EACH
705-10.99,GUARDRAIL END TERMINAL ANCHOR CABLE ASSEMBLY,EACH
705-11.01,GUARDRAIL AT BRIDGE ENDS (POWDER COATED),L.F.
705-11.03,SINGLE GUARDRAIL (TYPE 2) (POWDER COATED),L.F.
705-11.07,RADIUS RAIL (POWDER COATED),L.F.
705-11.08,GUARDRAIL TERMINAL (TYPE 13) (POWDER COATED),EACH
705-11.09,GUARDRAIL TERMINAL (TYPE IN LINE) (POWDER COATED),EACH
705-11.11,"TAN ENERGY ABSORB  TERMINAL (NCHRP 350, TL 3)(POWDER COATED)",EACH
705-11.13,GUARDRAIL TERMINAL (TYPE 21)(POWDER COATED),EACH
705-11.15,GUARDRAIL TERMINAL TYPE 12 (POWDER COATED),EACH
705-11.22,W BEAM GR (TYPE 2) MASH TL-3 (LONG POST) (POWDER COATED),L.F.
705-11.41,TANGENT ENERGY ABSORBING TERM MASH TL-3(POWDER COATED),EACH
705-11.42,GR TERMINAL (ENERGY ABSORBING) MASH TL-2 (POWDER COATED),EACH
705-11.46,THRIE BEAM BRIDGE TRANSITION MASH TL-2 (POWDER COATED),EACH
705-11.52,SHP CURVED TYPE 2 GR BRDGE ENDS (POWDER COATED),L.F.
705-14.20,RELOCATE AND REWORK ATTENUATOR,EACH
705-14.21,SC B-U CABLE STRAP ASSY,EACH
705-14.22,CONC. B-U CABLE STRAP ASSY,EACH
705-14.30,REPOSITIONING IMPACT ATTENUATOR(REACT 350),EACH
705-14.31,CYLINDER  0.8   CYLINDERS 1 & 2,EACH
705-14.32,CYLINDER  0.9   CYLINDERS 3 & 4,EACH
705-14.33,CYLINDER  1.0   CYLINDERS 5 & 6,EACH
705-14.34,CYLINDER  1.108 CYLINDER  7,EACH
705-14.35,CYLINDER  1.385 CYLINDERS 8 & 9,EACH
705-14.36,U-BOLTS (1/2 X 3),EACH
705-14.37,U-BOLTS (3/8 X 3),EACH
705-14.38,BOX BEAM (8 X 6 X 3/16),EACH
705-14.50,CYLINDER RETAINER (1 3 X 5),EACH
705-14.51,FRONT ANCHOR PIN (1/4 X 1 1/2 X 3),EACH
705-14.53,1/2 GALVANIZED CHAIN WITH HARDWARE,EACH
705-14.54,POLYVINYL COVER,EACH
705-14.55,ANCHOR BOLT SET (CONCRETE/ASPHALT),EACH
705-14.56,REFLECTIVE NOSE LEFT/RIGHT,EACH
705-14.57,BACKUP SINGLE CABLE-(4 BARREL),EACH
705-14.58,BACKUP SINGLE CABLE-(6 BARREL),EACH
705-14.59,BACKUP SINGLE CABLE-(9 BARREL),EACH
705-14.60,CABLE SYSTEM FOR SIDE MOUNT-(4 BARREL),EACH
705-14.61,CABLE SYSTEM FOR SIDE MOUNT-(6 BARREL),EACH
705-14.62,CABLE SYSTEM FOR SIDE MOUNT-(9 BARREL),EACH
705-14.63,BOTTOM CABLE-(4 BARREL),EACH
705-14.64,BOTTOM CABLE-(6 BARREL),EACH
705-14.65,BOTTOM CABLE-(9 BARREL),EACH
705-14.66,SIDE MNT ANCHR/CABLE ANCHR CVR PLT,EACH
705-14.67,PULLOUT BRACKET ASSEMBLY,EACH
705-14.68,3IN X 3IN TUBING,EACH
705-14.69,GALVANIZED STABALIZER BAR,EACH
705-14.70,TRANSITION PLATE,EACH
705-14.71,TOP CABLE (OLD UNIT)-(4 BARREL),EACH
705-14.72,TOP CABLE (OLD UNIT)-(6 BARREL),EACH
705-14.73,TOP CABLE (OLD UNIT)-(9 BARREL),EACH
705-14.74,CONCRETE PAD (REACT 350),EACH
705-15.65,QUADGUARD II IMPACT ATTENUATOR (REPOSITIONING),EACH
705-15.66,QUADGUARD II IMPACT ATTENUATOR (WIDE),EACH
705-15.67,QUADGUARD II IMPACT ATTENUATOR,EACH
705-15.68,NOSE ASSEMBLY QGII STEEL,EACH
705-15.69,SHIM KIT QGII,EACH
705-15.71,"HEX FOAM CARTRIDGE, TYPE I",EACH
705-15.72,"HEX FOAM CARTRIDGE, TYPE II",EACH
705-15.74,"DIAPHRAGM ASSEMBLY, QC",EACH
705-15.75,FENDER PANEL ASSEMBLY,EACH
705-15.77,"BACKUP ASSEMBLY, TENSION STRUT",EACH
705-15.79,"MONORAIL ASSEMBLY, 4-6 BAY",EACH
705-15.80,"MONORAIL ASSEMBLY, 7-9 BAY",EACH
705-15.82,"TRANSITION PANEL, NEW JERSEY BARRIER",EACH
705-15.83,"TRANSITION PANEL, QUAD TO W",EACH
705-15.84,"DIAPHRAGM ASSEMBLY, WIDE",EACH
705-15.85,"BACKUP ASSEMBLY, TENSION STRUT, WIDE",EACH
705-15.87,"BACKUP ASSEMBLY, CONCRETE",C.Y.
705-15.88,"END SHOE, CONCRETE",C.Y.
705-15.89,"BACKUP ASSEMBLY, CONCRETE, WIDE",C.Y.
705-15.90,EXTENSION PANEL,EACH
705-15.91,PIVOT SUPPORT BRACKET,EACH
705-15.92,TRANS PANEL NEW JERSEY BARRIER WIDE,EACH
705-15.93,TRANS PANEL QUAD TO W WIDE,EACH
705-16.01,MEDIAN ATTENUATING TREND TERMINAL (MATT),EACH
705-16.75,HAZARD REFLECTORS,EACH
705-16.76,GENERAL CLEANUP,EACH
705-16.77,REPAIR OF CONCRETE BACKUP WALL,S.F.
705-17.08,CARTRIDGE SUPPORT BRACKETS,EACH
705-17.18,CBL 3/4 X 6FT6IN /DLB SWG/NOHWI,EACH
705-17.19,CBL 3/4 X 19FT7IN /SNG SWG,EACH
705-17.20,DIAPHRAGM #1,EACH
705-17.21,DIAPHRAGM #2,EACH
705-17.23,DIAPHRAGM #10,EACH
705-17.24,HDPE NOSE PIECE,EACH
705-17.25,HDPE FRONT PANEL,EACH
705-17.26,HDPE MIDDLE PANEL,EACH
705-17.27,HDPE REAR PANEL,EACH
705-17.28,COMPLETE BASE UNIT,EACH
705-17.29,PLATE WASHER 5/16IN X 2IN X 1FT2IN,EACH
705-17.30,BACK-UP POST,EACH
705-17.31,FRONT BASEPLATE / POST ASSEMBLY,EACH
705-17.32,BREAKAWAY POST (TOP),EACH
705-17.33,BREAKAWAY BOLT ASSEMBLY,EACH
705-17.35,IMPACT ATTENUATOR (HEART),EACH
705-17.36,TRANSITION TO SAFETY SHAPE,EACH
705-17.37,TRANSITION TO BARRIER WALL (END CAP),EACH
705-17.40,WIDETRACC LONG WING POST,EACH
705-17.41,WIDETRACC SHORT WING POST,EACH
705-17.42,WIDETRACC EXT CHANNEL,EACH
705-17.43,WIDETRACC PANEL,EACH
705-17.48,CONCRETE PAD (WIDETRACC),EACH
705-17.71,WIDETRACC CABLE SYSTEM (W/ HARDWARE),EACH
705-17.72,WIDETRACC FRAME (W/ HARDWARE),EACH
705-17.73,WIDETRACC EXTENSION FOOT (RIGHT) (W/ HARDWARE),EACH
705-17.74,WIDETRACC EXTENSION FOOT (LEFT) (W/ HARDWARE),EACH
705-17.84,200 LB (PLASTIC DRUM W/SAND),EACH
705-17.85,400 LB (PLASTIC DRUM W/SAND),EACH
705-17.86,700 LB (PLASTIC DRUM W/SAND),EACH
705-17.87,1400 LB (PLASTIC DRUM W/SAND),EACH
705-17.89,HEART REFLECTIVE TAPE,EACH
705-17.90,HEART REPAIR DPHM-L WR BKT,EACH
705-17.91,HEART CRS-RPR DPH 3-9,EACH
705-17.92,REPOSITIONING IMPACT ATTENUATOR (HEART),EACH
705-17.93,IMPACT ATTENUATOR (WIDETRACC 2005),EACH
705-17.97,ATTENUATOR (NARROW- LOW MAINTENANCE),EACH
705-17.98,ATTENUATOR (WIDE- LOW MAINTENANCE),EACH
705-18.01,IMPACT ATTENUATOR (REACT M),EACH
705-18.02,BACKUP & BASE TRACK ASSEMBLY (REACT M),EACH
705-18.03,CYLINDER ASSEMBLY 1 (REACT M),EACH
705-18.04,CYLINDER ASSEMBLY 2 (REACT M),EACH
705-18.05,CYLINDER ASSEMBLY 3 (REACT M),EACH
705-18.06,CYLINDER ASSEMBLY 4 (REACT M),EACH
705-18.07,CYLINDER ASSEMBLY 5 (REACT M),EACH
705-18.08,CYLINDER ASSEMBLY 6 (REACT M),EACH
705-18.09,DIAPHRAGM (REACT M),EACH
705-18.10,HDPE 1 1/2 X 12 3/16 X 18 (REACT M),EACH
705-18.11,"RAIL GUIDE, INNER (REACT M)",EACH
705-18.12,"RAIL GUIDE, OUTER (REACT M)",EACH
705-18.13,CYLINDER SPACER (REACT M),EACH
705-18.14,CABLE ASSEMBLY (REACT M),EACH
705-18.15,"PIN, RESTRAINING CABLE (REACT M)",EACH
705-18.16,"ADAPTER, TRANSITION (REACT M)",EACH
705-18.17,"SUPPORT, TRANSITION (REACT M)",EACH
705-18.18,NOSE COVER ASSEMBLY (REACT M),EACH
705-18.19,REPOSITIONING IMPACT ATTENUATOR(REACT M),EACH
705-18.20,CONCRETE PAD (REACT M),EACH
705-18.21,"TRANSITION ASSEMBLY, 8 OFFSET, VERTICAL, (REACT M)",EACH
705-18.22,"TRANSITION ASSEMBLY, PCMB (REACT M)",EACH
705-18.23,"TRANSITION ASSEMBLY, VERTICAL, UNIDIRECTIONAL (REACT M)",EACH
705-18.50,IMPACT ATTENUATOR (DELTA),EACH
705-18.51,FRONT ATTENUATION MODULE KIT (DELTA),EACH
705-18.52,FRONT IMPACT HEAD KIT (DELTA),EACH
705-18.53,FRONT MODULE OBJECT MARKER KIT (DELTA),EACH
705-18.54,STEEL DIAPHRAGM (DELTA),EACH
705-18.55,TRACK WELDMENT (DELTA),EACH
705-18.56,FENDER PANEL (1N) (DELTA),EACH
705-18.57,FENDER PANEL (2N) (DELTA),EACH
705-18.58,FENDER PANEL (3N) (DELTA),EACH
705-18.59,FENDER PANEL (45N) (DELTA),EACH
705-18.60,STEEL TRANSITION LEFT/RIGHT (DELTA),EACH
705-18.61,REPOSITIONING IMPACT ATTENUATOR (DELTA),EACH
705-18.62,CONCRETE PAD (DELTA),EACH
705-20.01,IMACT ATTENUATOR (QUADGUARD M10),EACH
705-20.02,QUADGUARD TO M10 ATTENUATOR RETROFIT,EACH
705-20.03,REPOSITIONING IMPACT ATTENUATOR (M10),EACH
705-20.04,"NOSE ASSEMBLY, M10",EACH
705-20.05,"HEX FOAM CARTRIDGE, TYPE M1",EACH
705-20.06,"HEX FOAM CARTRIDGE, TYPE M2",EACH
705-20.07,IMACT ATTENUATOR (QUADGUARD ELITE M10),EACH
705-20.08,REPOSITIONING IMPACT ATTENUATOR (QUARDGUARD ELITE M10),EACH
705-20.09,TENSION STRUT BACKUP 24 (QGEM),EACH
705-20.10,DIAPHRAGM 24 (QGEM),EACH
705-20.11,"DIE SPRING, 5/8 X 1 1/2 (QGEM)",EACH
705-20.12,MUSHROOM WASHER (QGEM),EACH
705-20.13,"EXTENSION BACKUP, M10 QGE (QGEM)",EACH
705-20.14,"PANEL, FENDER, QG (QGEM)",EACH
705-20.15,MONORAIL GUIDE (QGEM),EACH
705-20.16,"PANEL, SIDE, QG (QGEM)",EACH
705-20.17,"EXTENSION, DIAPHRAGM, FLAT (QGEM)",EACH
705-20.18,"FLT ST 3/16X2X13, W/HOLES (QGEM)",EACH
705-20.19,"STOP, TAB, WELDMENT, G (QGEM)",EACH
705-20.20,LOW MAINT CRASH CUSHN NARROW (MASH TL-3),EACH
705-20.21,LOW MAINT CRASH CUSHION WIDE (MASH TL-3),EACH
705-20.22,REUSABLE CRSH CUSHION NARW (MASH TL-3),EACH
705-20.23,REUSABLE CRASH CUSHION WIDE (MASH TL-3),EACH
705-20.25,TEMPORARY CRASH CUSHION (MASH TL-3),EACH
705-20.26,"PLATE, NOSE CYLINDER, G (QGEM)",EACH
